Chain-Type Quantity Indexes for Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain-Type Quantity Indexes for Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: December 19, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,industry,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
13,        Durable goods,48.676,53.152,57.313,64.057,60.627,62.124,67.238,72.032,76.996,82.785,87.192,87.402,74.45,84.038,90.062,92.824,95.081,95.92,96.741,96.362,100,104.189,105.402,99.552,107.235,109.777,108.834
14,            Wood products,87.465,88.646,87.097,88.875,85.848,86.545,86.864,84.964,92.96,91.632,97.081,90.941,77.093,82.833,91.913,93.839,95.865,86.526,94.135,98.608,100,94.9,98.416,103.633,98.163,97.87,108.659
15,            Nonmetallic mineral products,100.702,100.089,101.952,101.909,99.858,98.369,102.161,109.579,112.111,104.956,105.363,99.384,79.83,82.287,86.305,91.233,96.505,96.623,96.566,94.627,100,99.644,103.652,100.903,104.591,100.652,90.939
16,            Primary metals,68.323,73.602,78.843,80.053,76.116,77.859,75.459,81.057,74.172,67.308,66.725,69.699,67.071,68.243,75.818,89.435,96.809,95.215,104.859,111.208,100,100.353,112.031,119.551,109.672,126.922,156.302
17,            Fabricated metal products,109.492,106.687,107.288,113.93,101.634,97.148,101.638,105.739,107.701,111.5,116.165,110.715,83.65,92.501,98.229,101.773,101.174,102.388,97.914,94.434,100,104.121,103.11,93.407,96.05,92.371,85.943
18,            Machinery,91.832,99.062,93.72,96.169,87.04,81.215,81.167,91.024,98.042,104.394,109.296,111.706,88.964,100.69,115.59,117.194,116.135,114.076,101.397,92.417,100,105.916,104.467,93.881,105.616,106.026,98.815
19,            Computer and electronic products,8.888,11.627,14.784,22.358,22.153,24.829,32.393,37.819,43.263,51.755,59.825,68.918,69.876,77.668,80.206,82.514,84.073,87.525,93.361,95.787,100,106.343,109.838,112.609,122.148,121.188,120.856
20,"            Electrical equipment, appliances, and components",97.991,82.188,90.473,94.502,90.357,90.161,97.422,91.022,91.587,104.945,98.644,105.567,88.257,91.184,87.765,90.15,99.028,92.023,104.216,95.864,100,99.731,96.042,91.764,98.1,96.168,86.24
21,"            Motor vehicles, bodies and trailers, and parts",54.169,60.264,64.135,65.968,60.114,67.764,74.212,76.606,81.131,90.364,87.121,67.446,29.456,60.878,77.257,81.891,87.065,90.955,90.886,95.845,100,104.141,105.109,92.992,110.261,129.311,121.946
22,            Other transportation equipment,67.317,71.172,76.266,70.093,71.996,67.112,63.654,65.112,74.882,78.108,91.696,90.841,87.889,90.548,94.369,92.47,95.059,96.429,99.899,97.712,100,105.336,107.618,91.545,100.248,103.379,115.218
23,            Furniture and related products,131.794,134.174,140.79,146.375,132.083,129.185,126.742,135.676,142.826,144.642,132.43,112.784,82.294,83.007,84.05,82.422,88.777,93.687,100.077,100.695,100,104.843,100.577,94.59,99.643,94.879,78.864
24,            Miscellaneous manufacturing,64.369,66.529,68.966,72.011,68.27,71.334,73.147,77.354,81.605,87.413,89.152,95.115,96.887,101.1,98.313,97.942,95.165,96.118,91.834,96.37,100,106.078,102.648,101.171,112.639,117.985,119.693
25,        Nondurable goods,95.917,94.409,97.721,98.43,97.937,97.167,100.759,107.949,105.804,109.177,112.136,106.47,104.821,103.512,96.956,93.537,97.697,98.686,99.316,98.128,100,105.774,105.523,102.594,110.221,109.539,111.281
26,            Food and beverage and tobacco products,86.261,84.877,85.595,84.01,85.479,80.58,84.188,86.098,85.647,94.934,97.062,92.052,95.07,90.873,88.165,86.696,91.485,92.593,96.736,94.006,100,99.567,97.084,96.898,104.191,106.739,103.086
27,            Textile mills and textile product mills,152.364,150.452,157.875,165.64,146.833,142.893,119.309,147.389,140.1,134.124,129.9,121.695,93.868,94.827,84.792,93.196,99.625,103.955,101.053,102.01,100,94.679,92.818,86.872,92.737,86.784,80.72
28,            Apparel and leather and allied products,244.704,221.821,207.892,211.906,191.208,180.116,158.631,154.348,150.851,143.122,132.864,130.997,107.695,117.971,114.928,111.035,111.659,106.735,102.451,102.173,100,99.282,103.281,103.397,116.806,130.516,126.615
29,            Paper products,147.053,137.643,145.26,136.902,119.492,122.596,120.736,128.937,125.45,133.42,126.086,112.313,117.53,109.81,105.218,104.625,107.396,109.025,111.18,108.385,100,106.419,112.132,120.844,114.97,109.446,102.002
30,            Printing and related support activities,88.034,89.165,90.552,94.342,95.268,99.574,100.805,103.268,104.734,106.521,108.987,106.681,93.041,94.621,95.299,95.67,98.412,98.722,98.923,100.872,100,103.369,100.157,86.545,92.45,84.837,76.72
31,            Petroleum and coal products,88.343,96.318,92.425,92.862,112.006,97.358,129.987,148.523,148.273,129.429,132.648,142.685,134.47,114.936,96.452,88.543,96.285,103.723,101.628,87.214,100,104.875,120.094,78.911,99.809,88.192,104.863
32,            Chemical products,86.37,83.437,89.045,90.705,90.447,96.529,96.868,104.877,100.041,111.463,118.364,107.601,106.51,113.12,105.945,100.377,103.43,101.668,98.589,102.104,100,112.294,106.784,112.565,120.426,126.274,129.008
33,            Plastics and rubber products,82.227,83.757,91.768,97.532,91.456,90.133,93.862,101.611,100.707,94.064,96.341,83.568,83.108,88.424,86.717,89.1,89.41,88.965,98.353,99.418,100,103.732,105.692,99.668,100.816,88.891,82.274
34,    Wholesale trade,60.852,66.661,68.844,72.432,73.651,74.481,78.588,82.119,85.86,88.4,91.396,91.342,80.011,84.988,86.795,89.831,92.194,95.876,100.243,99.41,100,100.829,101.872,102.497,101.524,99.929,99.383
35,    Retail trade,59.208,64.856,67.147,69.235,71.803,75.256,79.184,80.467,83.049,83.659,81.069,78.404,75.069,78.239,78.695,79.293,82.969,85.421,89.904,95.177,100,103.49,106.343,104.397,105.027,100.758,111.768
36,        Motor vehicle and parts dealers,53.886,56.372,59.687,60.693,59.624,60.318,61.148,62.188,62.693,61.029,61.57,55.582,46.526,51.384,52.305,56.943,64.077,69.682,77.496,90.396,100,103.363,110.35,95.72,80.26,68.026,94.562
37,        Food and beverage stores,114.769,121.804,120.743,119.952,121.582,120.677,119.929,116.379,112.899,112.496,107.913,104.939,103.756,109.416,102.48,97.891,99.787,99.175,98.025,96.462,100,97.873,98.899,107.157,110.723,102.464,98.555
38,        General merchandise stores,48.554,52.602,55.035,58.715,61.834,71.647,80.388,83.975,88.782,90.254,89.394,90.785,95.804,93.946,97.798,85.509,87.159,89.224,93.34,94.768,100,104.084,103.335,109.47,117.781,103.158,97.508
39,        Other retail,53.641,60.616,62.85,65.286,69.286,72.769,77.601,79.278,83.425,85.106,81.074,79.045,75.892,78.886,79.879,82.877,85.792,87.581,92.012,96.789,100,104.865,107.541,105.85,111.755,115.554,125.787
40,    Transportation and warehousing,69.419,73.032,73.696,73.423,68.724,66.141,68.682,74.478,78.091,82.691,82.399,81.764,76.711,80.954,82.641,83.558,86.192,89.654,93.015,95.017,100,103.487,103.692,95.046,107.988,109.639,111.25
41,        Air transportation,84.403,81.411,79.936,65.009,44.551,45.085,48.671,57.804,60.925,66.58,72.22,68.914,68.412,79.582,79.838,76.259,80.196,82.709,86.76,93.524,100,104.084,103.489,54.932,91.407,114.256,117.789
42,        Rail transportation,83.304,88.225,92.205,97.609,94.865,85.461,93.265,98.41,99.54,102.921,100.854,103.364,91.865,91.873,92.524,95.571,96.256,101.607,104.167,97.162,100,101.2,94.462,84.068,90.829,96.884,92.507
43,        Water transportation,56.449,51.909,42.609,45.742,43.715,31.94,31.619,37.167,44.77,72.097,92.899,112.587,140.647,116.219,123.704,127.38,166.975,153.895,127.022,106.718,100,104.118,95.54,92.912,123.415,111.56,113.59
44,        Truck transportation,70.989,73.943,77.659,80.15,76.326,74.074,75.591,78.729,80.619,84.404,84.991,78.495,71.765,76.449,80.218,81.204,83.603,89.087,91.81,92.975,100,99.9,98.96,97.703,105.658,93.989,94.82
45,        Transit and ground passenger transportation,67.566,69.606,78.052,81.272,80.672,79.542,82.131,83.99,82.9,86.439,88.244,90.351,84.864,86.766,90.502,95.355,94.98,100.371,98.761,95.686,100,107.824,127.671,100.136,113.406,142.341,168.227
46,        Pipeline transportation,27.22,43.547,49.029,43.89,74.603,45.666,47.445,47.647,43.833,42.135,47.173,56.119,49.412,61.465,62.251,71.483,70.955,78.295,95.877,97.196,100,105.526,85.416,79.914,83.386,83.244,85.657
47,        Other transportation and support activities,88.899,94.962,90.628,97.864,98.574,100.526,101.739,108.543,116.197,118.465,105.757,106.239,94.21,94.474,92.332,88.852,89.039,89.72,94.038,96.852,100,103.876,106.774,118.888,121.033,122.841,129.905
48,        Warehousing and storage,36.045,41.991,40.661,43.344,41.151,41.803,44.83,52.47,59.948,64.289,60.925,64.414,63.405,66.198,69.968,77.057,81.207,83.989,86.5,94.302,100,109.287,117.235,130.196,153.705,152.206,133.22
