Chain-Type Quantity Indexes for Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain-Type Quantity Indexes for Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: December 19, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,industry,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
49,    Information,28.753,32.035,35.987,35.365,37.752,41.412,42.956,48.183,51.65,53.704,59.529,63.592,61.967,66.418,67.816,68.27,75.518,77.904,86.201,93.855,100,105.547,116.604,121.21,137.679,146.411,158.992
50,"        Publishing industries, except internet (includes software)",32.969,37.163,47.106,38.401,37.277,43.905,47.88,54.78,59.209,55.288,66.12,65.188,61.647,67.059,70.302,73.751,77.605,82.022,85.502,91.5,100,107.19,121.383,132.328,157.468,165.286,183.937
51,        Motion picture and sound recording industries,35.153,42.924,52.165,46.217,54.726,60.497,57.97,62.717,55.362,62.552,72.128,76.183,83.982,92.876,87.341,83.251,85.991,86.633,94.088,98.358,100,95.347,92.033,80.575,99.183,117.014,119.058
52,        Broadcasting and telecommunications,31.201,33.869,36.785,40.929,42.193,42.36,43.758,48.324,55.093,58.242,65.448,70.416,66.94,68.958,68.332,69.634,76.798,76.553,87.324,95.122,100,104.382,111.222,108.371,113.474,111.933,113.981
53,"        Data processing, internet publishing, and other information services",14.423,16.463,13.669,11.786,18.872,27.7,28.669,34.118,33.032,37.2,31.84,39.862,40.895,48.175,55.249,52.219,65.52,72.64,80.958,91.628,100,111.05,134.798,156.371,187.334,215.637,250.453
54,"    Finance, insurance, real estate, rental, and leasing",61.128,63.826,67.922,71.456,75.098,75.469,76.071,77.563,82.8,84.572,86.584,84.745,89.347,90.481,92.058,96.131,95.723,97.903,99.046,99.735,100,101.493,103.76,105.13,111.021,114.564,115.947
55,        Finance and insurance,58.601,64.706,70.577,77.12,81.036,80.164,78.956,79.655,86.876,90.13,86.438,75.165,93.426,89.138,89.819,98.999,92.852,98.175,101.785,102.238,100,97.599,101.005,102.958,107.759,105.411,104.457
56,"            Federal Reserve banks, credit intermediation, and related activities",60.868,70.372,83.648,84.064,83.127,92.592,89.446,83.155,89.849,87.939,81.199,86.727,106.647,98.04,108.373,116.958,108.293,111.593,110.123,105.185,100,95.995,100.39,107.665,113.056,100.797,98.467
57,"            Securities, commodity contracts, and investments",65.515,66.645,71.525,90.009,131.083,111.735,99.861,100.616,116.619,131.004,109.324,54.699,126.229,116.553,92.005,116.737,109.001,87.689,86.612,96.898,100,96.539,90.813,93.232,93.929,104.924,110.113
58,            Insurance carriers and related activities,49.415,53.512,52.927,61.403,57.482,53.641,57.524,64.209,68.286,72.46,79.076,69,70.099,70.341,71.382,74.449,70.562,87.944,99.537,102.177,100,101.102,108.023,103.374,106.775,112.372,111.171
59,"            Funds, trusts, and other financial vehicles",83.971,124.473,141.077,94.487,95.544,86.181,84.778,92.606,108.918,111.188,78.394,38.234,6.299,43.805,143.153,336.456,461.124,999.32,490.726,61.022,100,9.467,11.952,9.251,210.307,74.36,50.603
60,        Real estate and rental and leasing,62.381,63.07,66.145,68.037,71.513,72.536,74.103,76.021,80.14,81.083,86.27,89.611,87.362,91.142,93.178,94.587,97.257,97.687,97.428,98.253,100,103.872,105.432,106.443,113.006,120.25,123.106
61,            Real estate,62.338,62.269,64.957,66.962,69.971,71.347,73.449,75.995,80.482,80.425,86.561,89.762,88.344,92.653,94.839,95.969,98.632,98.909,97.944,98.252,100,103.686,104.819,105.801,112.107,119.466,121.778
62,                Housing,73.536,74.938,77.28,79.72,82.512,82.448,83.376,86.475,90.213,92.044,93.718,98.242,96.876,99.163,99.802,99.319,99.948,99.816,99.318,99.516,100,101.358,102.897,104.319,108.233,114.238,115.629
