msa,wage_differential,housecost_differential
0,0,0
4,-0.0763788382978124,-0.0657062084853536
8,0.145005221160136,0.09432962645472279
12,0.08608039270948346,0.03939123976664813
16,0.13214080390213748,0.10513654847598104
20,0.0852124327471391,0.066846971688558
22,-0.04293107704730035,-0.08427893076739298
24,0.14612447003504167,0.11931910788876851
28,-0.011382216784835274,-0.11962455565266476
32,-3.999383007222368e-4,-0.04491870524971285
38,0.2377736317398055,0.27122887169704146
44,0.2672040926570204,0.31840021142204333
45,-0.030262178355252193,-0.11988486077689457
46,0.10865341853444536,0.028148993609204937
48,-0.014902881316884138,0.145715937379501
50,0.013687176746195117,0.10367591863057206
52,0.238729989285623,0.13664882377496632
56,0.2016116386593647,0.1983590254708411
58,0.0218617423700715,-0.012606006585248538
60,0.07101219333812264,-0.018332886047444694
64,0.18974602998067308,0.24751893879617343
68,0.18217298422546319,-0.037279951994290225
72,0.23503445871177603,0.16788868998427442
74,0.14754822774416737,0.24692115026860526
76,0.10962803554215929,0.06567147486815543
84,0.10776948189741753,-0.03386411839742454
86,0.09116271499782835,0.21241306246989183
87,0.07856335645608889,0.06336092513167138
88,-0.05216942642541573,-0.04699956814107531
92,0.02430044883946339,0.10188619059678705
96,0.03378239389526787,-0.029479407035567676
100,0.14301988724123993,0.006008127701207503
102,0.0022481662886243074,0.06881634601187094
104,0.17118103894621425,0.0037066329154037438
108,0.0667082937300865,0.07757810443898315
112,0.31075221560007754,0.40636153808369874
115,0.14159819658598582,0.25235271607646853
116,0.36935841894790095,0.33277379626994413
120,0.24961663375379034,0.20316318431100625
124,-0.052029137373203964,-0.08027763517651872
126,0.013371926481124261,0.08803016289465926
128,0.11759522636782711,-0.022858257113272096
132,0.06933001555693158,0.04455782151720599
136,0.09082575141088217,0.02589591172433521
140,0.052494829699246986,0.042752654849936615
144,0.046195783642395,0.20275848134846827
152,0.16900999489506394,0.18846161567778408
154,0.04378291334330658,0.2517000003938144
156,0.05163529022032879,0.037496558569566595
160,0.2998387460246581,0.2736614439351916
162,0.060835795182788505,0.08215230486344817
164,0.19140737088276596,0.08660637304034438
166,-0.05855694529596847,0.026030268999632015
168,0.1723641017083369,0.09979251989092257
172,0.06653074869688622,0.13401102489482847
174,-0.039790230372358404,-0.005625970489486592
176,0.08369327678580056,0.14287721494625283
180,0.026100532845716506,-0.06688486589110564
184,0.17955651852628673,0.10595464648737488
188,0.07263249096406905,0.06968664631598365
192,0.22938835071006378,0.16684707086724385
193,0.40283907591677004,0.5251498740759449
195,-0.016906351895599574,0.01859520038287732
196,0.06536052791729746,-0.020116274342838428
200,0.1336633255290511,0.07099589963681933
202,-0.008435015088158986,0.2270535243351671
203,0.08948942774526807,-0.05843138594951958
204,0.094446083397212,-0.07786328932308459
208,0.21838647364319408,0.2696417648498184
212,0.13348118252770888,0.05292081040202742
216,0.2965006311397514,0.15197650246285727
218,-0.021758534608221514,0.06039560437159649
219,0.08259005997513638,0.07662917362016547
224,0.049767900440304935,-0.08041120845005821
228,0.2626389104831585,0.2660695846300812
229,0.004611030395286094,0.012287699886112866
231,0.021091736822472115,-0.16137999007244205
232,0.13942135227979557,0.0965547552734137
236,0.044098688171264576,-0.030076279323577756
240,0.030667691587103817,0.304040764426984
244,0.05209446884572761,0.005528631357193018
252,-0.028575763270290596,-0.033778056419659946
256,-0.03700818706348452,0.1065463809848052
258,0.0029235694828301123,-0.0393325392904506
260,0.18285518356860597,0.06849121307656515
262,-0.004396049356260303,0.049089973418540364
264,0.15896336782245982,-0.07500704011136522
265,0.008250922295984136,-0.09525043994269762
267,0.09724274811882226,0.17036878309314685
268,0.18208101801179816,0.36747467922970567
270,0.04051042515666322,0.3442617126104773
271,0.057580767012010266,0.32838479789992353
272,-0.03519903303534362,-0.11492161072534655
275,-0.049681211346997566,0.11593499807687976
276,0.12450937008237845,0.00514958268041657
284,0.13879634840244542,0.05274709052342885
288,-0.00438684689386917,-0.18967242817069152
290,-0.009694950339953653,0.1465422670201893
292,0.19520932270420197,0.08519244709939419
297,0.021661331163528898,0.045954590871481946
298,-0.03520402017908927,-0.028399862723453972
300,0.16901792492701143,0.08745515968606066
301,-0.03584201279043289,0.010634625269219575
306,0.10672782910683942,0.06720292881405722
308,0.14038821113753033,0.05203687830529593
312,0.107194937894626,0.1260883382163143
315,0.06435228786676303,0.02701871679147297
316,0.09622012819443053,0.057875855158193254
318,0.08813869345682086,0.07715147979514349
320,0.19271166463147807,0.08563705995990839
324,0.12836020704963588,0.0952953160926601
328,0.3021833606584088,0.20833151702655464
329,0.03389008658572261,0.12126555759779897
330,-0.02738895359807468,-0.06773554327577215
332,0.14676606186619215,0.6074519902096659
335,0.04596043853536042,-0.04603603031757657
336,0.22992929677319046,0.10426330854321293
344,0.11312349949676265,0.03617662643140033
348,0.16793958343932805,0.11733678427087187
350,0.05146725330825013,0.10389877684817839
352,0.1017510842629358,0.0886234874414808
356,0.0713493050623488,-0.0708612880023969
358,0.050908776981055455,-0.03769094311945973
359,0.10545794625467061,0.2392526226397633
360,-0.11529200858276954,0.07357565107499675
361,0.0025173324296325185,-0.04965950427185835
362,0.14648216506983572,0.035325429694402284
366,-0.020062692135555307,0.0588867486997712
368,-0.06235925189448683,-0.23442918841655974
