Decade,Pop England,Share Males farm sector,Male Farm Wage,Male Non-Farm Wage,Male average Wage,Male Work Days per Year,Total Wage Income,Land rents,Net House rents,Other Capital Income,All Capital Income,Indirect Taxes,Net National Income,Price Index - Domestic Expenditure,Price Index - GDP,Price Index - Cost of Living,Real Net National Income (DE),Real NNI/N
1450,2.279884381,0.536500446,3.791139579,4.400712293,4.800412696,300,5.103213527,1.511961198,0.043635748,1.312496035,1.356131783,0,7.971306508,11.57304646,12.52203627,11.34759016,10.52381796,91.14672723
1460,2.320873579,0.553480838,3.541940338,4.306121307,4.577343675,300,4.953559078,1.525351694,0.048124123,1.287320278,1.335444401,0,7.814355173,11.73495957,12.69722625,11.5113442,10.22850046,87.02440443
1470,2.380128732,0.577596417,3.576873964,4.288028499,4.569653923,300,5.071496134,1.179406344,0.056043473,1.243294641,1.299338114,0,7.550240592,11.81959742,12.78880441,11.59773601,9.784034427,81.17047748
1480,2.402803169,0.591259349,3.528068576,4.222345025,4.496667108,300,5.038036099,1.351964738,0.060050077,1.273928938,1.333979015,0,7.723979852,12.47993806,13.50329298,12.36715382,9.473449178,77.85213174
1490,2.314704433,0.574735546,3.573725366,4.258929416,4.536911804,300,4.896753264,1.209140343,0.057083284,1.215137582,1.272220866,0,7.378114473,11.78601133,12.75246426,11.53784173,9.596194606,81.86232568
1500,2.559872262,0.593417695,3.380105057,4.145756272,4.360605542,300,5.204960502,1.320031442,0.071212791,1.301883729,1.37309652,0,7.898088465,12.08655411,13.07765155,11.94423412,10.02500356,77.32978741
1510,2.80754294,0.606286221,3.372062581,4.292602042,4.407506443,300,5.769945412,1.272398116,0.087509003,1.406149975,1.493658978,0,8.536002506,12.43815766,13.45808659,12.24422252,10.55070778,74.20544309
1520,2.94110926,0.633297218,3.419046632,4.384399648,4.459873476,300,6.116261397,1.599042933,0.099420847,1.545409233,1.64483008,0,9.360134409,14.32340936,15.49792892,14.36685369,10.07602873,67.6486001
1530,3.019703022,0.635209214,3.324346438,4.547417783,4.437235984,300,6.247828518,2.084769295,0.109489454,1.670904555,1.780394009,0,10.11299182,15.08954299,16.32688552,15.21428729,10.27418569,67.18367437
1540,2.992557968,0.63785299,3.94323871,4.907246846,5.073927273,300,7.080096075,2.052634619,0.115623034,1.831618155,1.947241189,0,11.07997188,17.00771894,18.4023519,17.19346609,10.08496249,66.54451909
1550,3.241056598,0.692004636,5.057780421,6.424584402,6.4970411,300,9.818713105,1.984068213,0.146503259,2.375405631,2.521908889,0.032101,14.35679121,25.29269186,27.36669259,26.05646502,8.764848645,53.3996464
