GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
4000,Arizona,6,SAINC51,52,...,Population (persons) 1/,Number of persons,690000,714000,756000,785000,842000,894000,933000,987000,1053000,1125000,1193000,1261000,1321000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6401304,6443158,6501800,6555926,6629890,6705607,6793278,6872380,6964300,7067695,7187135,7274078,7377566,7473027,7582384
4000,Arizona,6,SAINC51,53,...,Per capita disposable personal income (dollars) 2/,Dollars,1252,1261,1305,1536,1599,1620,1615,1673,1758,1798,1805,1873,1940,1994,2046,2082,2219,2310,2456,2604,2902,3218,3570,3912,4192,4624,4956,5324,5723,6175,6935,7722,8606,9480,9860,10679,11674,12466,13141,13543,14364,14966,15434,15854,16407,16947,17718,18484,19145,20032,21147,21761,22931,23670,24572,25739,27300,28727,30674,31718,32036,30892,31059,31992,33047,33277,34484,35723,36895,38803,40736,42759,46915,50761,51603,55979,57935
5000,Arkansas,5,SAINC51,51,...,Disposable personal income (millions of dollars) ,Millions of dollars,1525.7,1439.3,1541.1,1733.7,1798.5,1801.1,1776.7,1944.6,1996.1,2062,2143.6,2333.4,2351.3,2560.8,2712.1,2874.2,3164.4,3323.9,3655.1,3882.9,4153.4,4588.7,5062.6,5704.1,6412.9,7568,8387.9,9398.8,10250.3,11440,13248.1,14420.8,15509.4,17587.5,18361.9,19698,22103.3,23421.4,24690.9,25530.9,27518.9,29420.8,30958,32892,35830.7,37558.4,39760.4,42222.4,44738.8,46771.3,49470.1,51534.9,54020.7,57065.8,59393.7,63652.8,68042.8,70833,75056.5,79532.9,83120.6,83435.7,86387,91406,97557.8,96883.6,102362.7,105216,107887.7,111671.5,117322.8,119267.7,129524.3,144346.1,149696,160388.2,166778.9
5000,Arkansas,5,SAINC51,52,...,Population (persons) 1/,Number of persons,1825000,1844000,1908000,1901000,1838000,1780000,1734000,1725000,1704000,1733000,1726000,1756000,1789000,1806000,1853000,1875000,1897000,1894000,1899000,1901000,1902000,1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921546,2938773,2948793,2954563,2961050,2970210,2980475,2990702,2997195,3004206,3014546,3026870,3047704,3069463,3088354
5000,Arkansas,5,SAINC51,53,...,Per capita disposable personal income (dollars) 2/,Dollars,836,781,808,912,979,1012,1025,1127,1171,1190,1242,1329,1314,1418,1464,1533,1668,1755,1925,2043,2184,2399,2623,2893,3178,3676,3993,4355,4726,5183,5912,6355,6776,7669,8003,8543,9528,10065,10588,10900,11747,12539,13137,13802,14831,15291,15942,16653,17394,17981,18836,19433,20168,21202,21949,23360,24746,25469,26599,27920,28916,28802,29569,31103,33084,32791,34570,35424,36198,37340,39144,39700,42966,47688,49118,52253,54003
6000,California,8,SAINC51,51,...,Disposable personal income (millions of dollars) ,Millions of dollars,16422.1,17029.3,18994.4,21517.5,23600.7,25509.2,26515.2,28992.7,31859.3,34142.3,35986.1,39212.7,41297.8,43781.8,47106.9,50357.9,55413,59226.7,64053.3,68608.2,74321.6,80909.1,88696.5,95640.1,103193.2,114302.3,126995.2,142188.2,156188,172077.6,194344.8,218830.8,248455.2,279531.1,301727.2,327163.5,362541.4,389949.3,418994.3,444694.4,489304.1,521540.7,560521.4,587257.5,623255.7,638443.7,657644.1,687235.6,721846.3,755675.3,816872.5,863253.7,932100.4,988772.1,1040694.4,1098063.6,1164414.7,1209975.6,1295546.9,1346007.1,1376342.8,1378288.7,1431825.6,1504645.4,1590509.7,1587112.7,1679406.9,1786764.4,1871763.1,1961488.7,2057748.6,2171147.1,2372279.8,2521037.8,2444168.2,2694042.2,2868064.1
6000,California,8,SAINC51,52,...,Population (persons) 1/,Number of persons,10064000,10337000,10677000,11134000,11635000,12251000,12746000,13133000,13713000,14264000,14880000,15467000,15870000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37322523,37651212,37971412,38292557,38637421,38966939,39223789,39424315,39535920,39547995,39521958,39142565,39142414,39198693,39431263
6000,California,8,SAINC51,53,...,Per capita disposable personal income (dollars) 2/,Dollars,1632,1647,1779,1933,2028,2082,2080,2208,2323,2394,2418,2535,2602,2654,2759,2850,3053,3187,3397,3578,3832,4105,4430,4701,5013,5477,5998,6602,7121,7699,8509,9410,10439,11510,12157,12901,14028,14748,15460,16009,17190,17850,18709,19273,20121,20414,20888,21682,22544,23262,24763,25769,27424,28677,29843,31148,32732,33772,35966,37131,37601,37290,38364,39963,41887,41447,43466,45853,47720,49753,52048,54899,60024,64407,62443,68728,72736
8000,Colorado,7,SAINC51,51,...,Disposable personal income (millions of dollars) ,Millions of dollars,1721.6,1759.6,1927.9,2251.7,2395.9,2428.7,2523.5,2758.2,3013,3338,3399.7,3657.8,3864,4157.7,4393.6,4601.9,4964.2,5287.4,5644.2,6057.9,6650.5,7383.1,8450.1,9583.1,10704.4,12286.4,13711.9,15358.1,16806.3,18613.9,21393.9,24353.5,27895.6,31864.4,34954.7,38707.4,42289.7,44734.4,46638.2,48034.2,51121.6,54666.6,57751.1,61409.4,66603.7,71880.6,77067.6,83738,89602.4,95473.5,105138.1,112452.8,124352.3,132523.8,136160.2,140456.1,145983.9,153717.8,164602.5,174261.5,183754.7,180175.7,184323.2,197828.9,208823.5,217662.1,235238.8,243622.7,246133.3,264253.1,288001.5,307807.3,329650,361501.9,381394.1,412483.8,431183.6
8000,Colorado,7,SAINC51,52,...,Population (persons) 1/,Number of persons,1263000,1295000,1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000,1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5046928,5118837,5188139,5262801,5342212,5441452,5528510,5599635,5676918,5735797,5787129,5814036,5850935,5901339,5957493
