msa,state,division,msa_name
6680,42,2,"Reading, PA"
6690,6,9,"Redding, CA"
6720,32,8,"Reno, NV"
6740,53,9,"Richland-Kennewick-Pasco, WA"
6760,51,5,"Richmond-Petersburg, VA"
6780,6,9,"Riverside-San Bernardino, CA"
6800,51,5,"Roanoke, VA"
6840,36,2,"Rochester, NY"
6880,17,3,"Rockford, IL"
6920,6,9,"Sacramento, CA"
6960,26,3,"Saginaw-Bay City-Midland, MI"
6980,27,4,"St. Cloud, MN"
7000,29,4,"St. Joseph, MO"
7040,17,3,"St. Louis, MO/IL"
7080,41,9,"Salem, OR"
7120,6,9,"Salinas-Sea Side-Monterey, CA"
7160,49,8,"Salt Lake City-Ogden, UT"
7240,48,7,"San Antonio, TX"
7320,6,9,"San Diego, CA"
7360,6,9,"San Francisco-Oakland-Vallejo, CA"
7400,6,9,"San Jose, CA"
7480,6,9,"Santa Cruz, CA"
7500,6,9,"Santa Rosa-Petaluma, CA"
7510,12,5,"Sarasota, FL"
7520,13,5,"Savannah, GA"
7560,42,2,"Scranton-Wilkes-Barre, PA"
7600,53,9,"Seattle-Everett, WA"
7610,42,2,"Sharon, PA"
7620,55,3,"Sheboygan, WI"
7680,22,7,"Shreveport, LA"
7720,19,4,"Sioux City, IA/NE"
7760,46,4,"Sioux Falls, SD"
7800,18,3,"South Bend-Mishawaka, IN"
7840,53,9,"Spokane, WA"
7880,17,3,"Springfield, IL"
7920,29,4,"Springfield, MO"
8050,42,2,"State College, PA"
8120,6,9,"Stockton, CA"
8160,36,2,"Syracuse, NY"
8200,53,9,"Tacoma, WA"
8240,12,5,"Tallahassee, FL"
8280,12,5,"Tampa-St. Petersburg-Clearwater, FL"
8320,18,3,"Terre Haute, IN"
8400,39,3,"Toledo, OH/MI"
8440,20,4,"Topeka, KS"
8480,34,2,"Trenton, NJ"
8520,4,8,"Tucson, AZ"
8560,40,7,"Tulsa, OK"
8600,1,6,"Tuscaloosa, AL"
8640,48,7,"Tyler, TX"
8680,36,2,"Utica-Rome, NY"
8760,34,2,"Vineland-Milville-Bridgetown, NJ"
8780,6,9,"Visalia-Tulare-Porterville, CA"
8800,48,7,"Waco, TX"
8840,11,5,"Washington, DC/MD/VA"
8920,19,4,"Waterloo-Cedar Falls, IA"
8940,55,3,"Wausau, WI"
8960,12,5,"West Palm Beach-Boca Raton-Delray Beach, FL"
9040,20,4,"Wichita, KS"
9080,48,7,"Wichita Falls, TX"
9140,42,2,"Williamsport, PA"
9160,10,5,"Wilmington, DE/NJ/MD"
9200,37,5,"Wilmington, NC"
9260,53,9,"Yakima, WA"
9280,42,2,"York, PA"
9320,39,3,"Youngstown-Warren, OH/PA"
